"Code","eco_code","eco_name","Fine_biome","Coarsest","Coarse","Med.coarse","Med.fine","Fine","Color","Notes"
"COF","PA0513","Mediterranean conifer and mixed forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0501","Alps conifer and mixed forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0515","Great Basin montane forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA1216","Northwest Iberian montane forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0516","Klamath-Siskiyou forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0613","Northern Cordillera forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NT0310","Trans-Mexican Volcanic Belt pine-oak forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA1220","Southern Anatolian montane conifer and deciduous forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0519","Northern California coastal forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0507","Cascade Mountains leeward forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0521","Northern transitional alpine forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0522","Okanagan dry forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0606","Eastern Canadian Shield taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0607","Interior Alaska-Yukon lowland taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0525","Queen Charlotte Islands","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0502","Altai montane forest and forest steppe","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0527","Sierra Nevada forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0528","South Central Rockies forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0504","Carpathian montane forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0505","Da Hinggan-Dzhagdy Mountains conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0601","Alaska Peninsula montane taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0602","Central Canadian Shield forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0603","Cook Inlet taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0604","Copper Plateau taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0605","Eastern Canadian forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0509","Central British Columbia Mountain forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0510","Central Pacific coastal forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0608","Mid-Continental Canadian forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0526","Sierra Juarez and San Pedro Martir pine-oak forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0610","Muskwa-Slave Lake forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0515","Northern Anatolian conifer and deciduous forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0516","Nujiang Langcang Gorge alpine conifer and mixed forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0517","Qilian Mountains conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0614","Northwest Territories taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0615","South Avalon-Burin oceanic barrens","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0616","Southern Hudson Bay taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0617","Yukon Interior dry forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0508","Central and Southern Cascades forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0601","East Siberian taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0602","Iceland boreal birch forests and alpine tundra","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0511","Colorado Rockies forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0514","Northeastern Himalayan subalpine conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NT0305","Hispaniolan pine forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0514","Fraser Plateau and Basin complex","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0609","Trans-Baikal conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0610","Ural montane forests and tundra","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0611","West Siberian taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0518","North Central Rockies forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","IM0501","Eastern Himalayan subalpine conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0520","Northern Pacific coastal forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0521","Tian Shan montane conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0609","Midwestern Canadian Shield forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0433","Pyrenees conifer and mixed forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0603","Kamchatka-Kurile meadows and sparse forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0604","Kamchatka-Kurile taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0530","Wasatch and Uinta montane forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0518","Qionglai-Minshan conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0607","Sakhalin Island taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0608","Scandinavian and Russian taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0520","Scandinavian coastal conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","NA0512","Eastern Cascades forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0605","Northeast Siberian taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0426","Manchurian mixed forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0519","Sayan montane conifer forests","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"COF","PA0606","Okhotsk-Manchurian taiga","Coniferous forest","Forest","Coniferous forest","Coniferous forest","Coniferous forest","Coniferous forest","#749882","North-temperate coniferous forest; including north-temperate coniferous rain forests; boreal forest; Rocky Mountain and Madrean Archipelago forests; but excluding SE USA; Caribbean pines; and tropical Asian pine forests"
"DES","AA1304","Great Sandy-Tanami desert","Desert","Desert","Desert","Desert","Desert","Desert","#b6a092","Mid to low-elevation; generally seasonally warm to very hot (at least seasonally) xeric landscapes; tropical to temperate: Sonora; Kalahari; Gobi; Sahara; Arabian peninsula; Atacama; etc."
"DES","AA1302","Central Ranges xeric scrub","Desert","Desert","Desert","Desert","Desert","Desert","#b6a092","Mid to low-elevation; generally seasonally warm to very hot (at least seasonally) xeric landscapes; tropical to temperate: Sonora; Kalahari; Gobi; Sahara; Arabian peninsula; Atacama; etc."
"DES","AA1305","Great Victoria desert","Desert","Desert","Desert","Desert","Desert","Desert","#b6a092","Mid to low-elevation; generally seasonally warm to very hot (at least seasonally) xeric landscapes; tropical to temperate: Sonora; Kalahari; Gobi; Sahara; Arabian peninsula; Atacama; etc."
"DES","AA1303","Gibson desert","Desert","Desert","Desert","Desert","Desert","Desert","#b6a092","Mid to low-elevation; generally seasonally warm to very hot (at least seasonally) xeric landscapes; tropical to temperate: Sonora; Kalahari; Gobi; Sahara; Arabian peninsula; Atacama; etc."
